"#","Title","Views","Likes","Dislikes","Comments","Reputation","Rep_v2","Rep_live","Custom","Action"
"1","I've never built a PC like this before...","414,151","20,339","330","1,799","0","0","2,753","Yes","Delete"
"2","bvrgefdnb","15,634,634","100,000","50,000","37,256","0","0","21,830","Yes","Delete"
"3","sdagsda","324,346","1,000,000","500,000","23,523","0","0","72,091","Yes","Delete"
"4","Iphone 12 Lidar Scanner","2,144,787","38,000","681","2,296","0","0","4,951","Yes","Delete"
"5","WHEN A BEATBOXER PLAYS FORTNITE","13,642,617","429,000","4,400","32,301","0","0","40,229","Yes","Delete"
"6","3D Printed RC Boat with JET PROPULSION","761,666","13,052","461","842","0","0","1,484","Yes","Delete"
"7","OMG HER INCREDIBLE VOCALS ONLY 15 YEARS OLD - Andra Day | Allie Sherlock cover","50,730","4,973","104","448","0","0","427","Yes","Delete"
"8","Ray Charles - Hit The Road Jack (Violet Orlandi cover)","378,203","14,616","283","358","0","0","1,389","Yes","Delete"
"9","GOD MODE Activated ✅ | FPV Freestyle","2,006,056","48,177","1,008","2,092","0","0","5,945","Yes","Delete"
"10","How Could They Mess Up This Bad... Again - $1500 PC Secret Shopper 2 Part 1","1,099,236","90,976","826","10,991","0","0","13,280","Yes","Delete"
"11","Nintendo @ E3 2018: Day 2","1,549,110","21,905","1,516","1,318","654","116","2,863","No","Delete"
"12","Gourmet Chef Makes A Big Mac Super Fancy","402,418","10,070","3,303","2,142","407","78","2,068","No","Delete"
"13","Stampede - Alexander Jean Ft. Lindsey Stirling","296,615","38,671","463","2,348","1,031","167","5,011","No","Delete"
"14","Troye Sivan - Dance To This (Official Audio) ft. Ariana Grande","1,473,589","214,511","2,011","17,455","3,719","504","24,135","No","Delete"
"15","First Take reacts: Kyrie Irving says contract extension doesn't make sense | First Take | ESPN","812,832","7,701","320","2,505","425","79","1,709","No","Delete"
"16","THE NUN - Official Teaser Trailer [HD]","2,072,162","61,948","1,263","6,143","1,527","235","9,039","No","Delete"
"17","Katherine Langford on 13 Reasons Why, Australia & Doctor Parents","296,295","8,157","294","764","340","65","900","No","Delete"
